id,name,slug,source
76915,Tian Y.,tian-yuan,sofascore
192783,Remzi S.,remzi-sibel,sofascore
192770,Yujin Jo.,jo-yujin,sofascore
192785,Bollmeier N.,bollmeier-nadine,sofascore
192786,Hamamoto Y.,hamamoto-yui,sofascore
192776,Choi H.,choi-hyojoo,sofascore
192777,Feher G.,feher-gabriela,sofascore
192771,Lemmer A.,lemmer-alena,sofascore
147924,Huang H.,huang-hsin,sofascore
126120,Grundisch C.,grundisch-carole,sofascore
131654,Morizono M.,morizono-misaki,sofascore
126140,Matelova H.,matelova-hana,sofascore
76913,Ramirez S.,ramirez-sara,sofascore
192782,Vivarelli D.,vivarelli-debora,sofascore
148058,Bouloussa M.,bouloussa-mehdi,sofascore
182749,Oikawa M.,oikawa-mizuki,sofascore
141646,Sakai H.,sakai-haruka,sofascore
141642,Cheng H.,cheng-hsien-tzu,sofascore
192780,Yoon H.,yoon-hyobin,sofascore
159900,Lee D.,lee-dasom,sofascore
192781,Liu Y.,liu-yu-hsin,sofascore
126154,Mikhaylova P.,mikhaylova-polina,sofascore
24923,Paskauskiene R.,paskauskiene-ruta,sofascore
146896,Yang X.,yang-xiaoxin,sofascore
25167,Fukuhara A.,fukuhara-ai,sofascore
141658,Penkavova K.,penkavova-katerina,sofascore
192787,Burov V / Liventsov A,burov-v-liventsov-a,sofascore
192788,Drinkhall P / Mcbeath D,drinkhall-p-mcbeath-d,sofascore
126212,Jancarik L / Prokopcov D,jancarik-l-prokopcov-d,sofascore
192789,Ghosh S / Kumar J,ghosh-s-kumar-j,sofascore
192790,HO K K / Wong C T,ho-k-k-wong-c-t,sofascore
141688,Lashin E-S / Saleh A,lashin-e-s-saleh-a,sofascore
192791,Jang W / Lim J,jang-w-lim-j,sofascore
192792,KIM M / Park G,kim-m-park-g,sofascore
126176,He Zhi W / Machado C,he-zhi-w-machado-c,sofascore
172142,Morizono M / Oshima Y,morizono-m-oshima-y,sofascore
192793,Lorentz R / Robinot A,lorentz-r-robinot-a,sofascore
192794,Shibaev A / Smirnov A,shibaev-a-smirnov-a,sofascore
182791,CHO E / Kim D,cho-e-kim-d,sofascore
104533,Huang S.,huang-sheng-sheng,sofascore
25107,Zhiwen He.,he-zhiwen,sofascore
25184,Kreanga K.,kreanga-kalinikos,sofascore
76875,Shibaev A.,shibaev-alexander,sofascore
192769,Akerstrom F.,akerstrom-fabian,sofascore
182755,El-Beiali M.,el-beiali-mohamed,sofascore
158498,Lim J.,lim-jonghoon,sofascore
126234,Angles E.,angles-enzo,sofascore
25087,Karakasevic A.,karakasevic-aleksandar,sofascore
126240,Prokopcov D.,prokopcov-dimitrij,sofascore
76829,Drinkhall P.,drinkhall-paul,sofascore
148038,Stoyanov N.,stoyanov-niagol,sofascore
25093,Lundqvist J.,lundqvist-jens,sofascore
192774,Wang Z.,wang-zhixu,sofascore
131638,Wang E.,wang-eugene,sofascore
76847,Machado C.,machado-carlos,sofascore
131620,Jancarik L.,jancarik-lubomir,sofascore
192772,Kim M.,kim-minhyeok,sofascore
192773,Park G.,park-ganghyeon,sofascore
148032,Persson J.,persson-jon,sofascore
148040,Sakai A.,sakai-asuka,sofascore
148024,Sambe K.,sambe-kohei,sofascore
192795,Bilenko T / Mikhailova P,bilenko-t-mikhailova-p,sofascore
104585,Cheng H-T / Chen S-Y,cheng-h-t-chen-s-y,sofascore
192796,LEE S / Yoon H,lee-s-yoon-h,sofascore
192797,Jeon J / Lee D,jeon-j-lee-d,sofascore
192798,Dvorak G / Xiao M,dvorak-g-xiao-m,sofascore
192799,Pota G / Tian Y,pota-g-tian-y,sofascore
192800,Feher G / Ramirez S,feher-g-ramirez-s,sofascore
103243,Hirano M / Ito M,hirano-m-ito-m,sofascore
192801,Prokhorova Y / Troshneva E,prokhorova-y-troshneva-e,sofascore
192802,LIU H Y / Huang H,liu-h-y-huang-h,sofascore
192803,Necula I / Penkavova K,necula-i-penkavova-k,sofascore
194735,Jayasingha N / Warusawithana E,jayasingha-n-warusawithana-e,sofascore
194736,Belkadi A / Laid I,belkadi-a-laid-i,sofascore
194737,KIM H B / Kim J,kim-h-b-kim-j,sofascore
194738,Lara M / Serrano M,lara-m-serrano-m,sofascore
194741,Karakasevic A / Paskauskiene R,karakasevic-a-paskauskiene-r,sofascore
194742,YAN A / WU Y,yan-a-wu-y,sofascore
195043,Alto G.,alto-gaston-diego,sofascore
159914,Chew Z.,chew-zhe-yu-clarence,sofascore
195044,BEN Ari O.,ben-ari-omry,sofascore
195048,Schmid E.,schmid-elia,sofascore
195041,Kolarek T.,kolarek-tomislav,sofascore
24885,Bobocica M.,bobocica-mihai,sofascore
148060,Lakatos T.,lakatos-tamas,sofascore
195046,Kenjaev Z.,kenjaev-zokhid,sofascore
76817,Alamiyan N.,alamiyan-noshad,sofascore
195039,Norouzi A.,norouzi-afshin,sofascore
126228,Pete Z.,pete-zolt,sofascore
195042,Rao J.,rao-jingwen,sofascore
172170,Pistej L.,pistej-lubomir,sofascore
24882,Aguirre M.,aguirre-marcelo,sofascore
195045,Tanviriyavechakul P.,tanviriyavechakul-padasak,sofascore
24902,Toriola S.,toriola-segun,sofascore
195058,Powell D.,powell-david,sofascore
195050,Cioti C.,cioti-constantin,sofascore
126236,Devos R.,devos-robin,sofascore
172166,Dyjas J.,dyjas-j,sofascore
195059,Peto Z.,peto-zsolt,sofascore
76861,Wang Z.,wang-zengyi,sofascore
195049,Alamian N.,alamian-nima,sofascore
104527,Groth J.,groth-jonathan,sofascore
195047,Rech Daldosso M.,rech-daldosso-marco,sofascore
195051,Olah B.,olah-benedek,sofascore
182765,Tauber M.,tauber-michael,sofascore
195052,Chen D.,chen-diogo,sofascore
76825,Burgis M.,burgis-matiss,sofascore
148026,Sternberg K.,sternberg-kasper,sofascore
76845,Jevtovic M.,jevtovic-marko,sofascore
159888,Madrid M.,madrid-marcos,sofascore
76873,Mattenet A.,mattenet-adrien,sofascore
195054,Mino A.,mino-alberto,sofascore
24892,Kim H.,kim-hyok-bong,sofascore
